Movie,Year,Duration
12 Angry Men,(1957),1h 36min
The Shawshank Redemption,(1994),2h 22min
"The Good, the Bad and the Ugly",(1966),2h 58min
Fight Club,(1999),2h 19min
Schindler's List,(1993),3h 15min
The Lord of the Rings: The Fellowship of the Ring,(2001),2h 58min
Pulp Fiction,(1994),2h 34min
The Lord of the Rings: The Return of the King,(2003),3h 21min
City of God,(2002),2h 10min
The Dark Knight,(2008),2h 32min
It's a Wonderful Life,(1946),2h 10min
The Godfather: Part II,(1974),3h 22min
The Godfather,(1972),2h 55min
The Silence of the Lambs,(1991),1h 58min
Se7en,(1995),2h 7min
Seven Samurai,(1954),3h 27min
Miracle in Cell No. 7,(2019),2h 12min
Drishyam,(2013),2h 40min
Three Colors: Red,(1994),1h 39min
The Princess Bride,(1987),1h 38min
Neon Genesis Evangelion: The End of Evangelion,(1997),1h 27min
Fanny and Alexander,(1982),3h 8min
Soul,(2020),1h 40min
Rififi,(1955),1h 58min
Before Sunset,(2004),1h 20min
The Battle of Algiers,(1966),2h 1min
Sunrise,(1927),1h 34min
It Happened One Night,(1934),1h 45min
Nausicaä of the Valley of the Wind,(1984),1h 57min
In the Mood for Love,(2000),1h 38min
A Silent Voice: The Movie,(2016),2h 10min
Raatchasan,(2018),2h 50min
Gangs of Wasseypur,(2012),5h 21min
Andrei Rublev,(1966),3h 25min
Rocky,(1976),2h
Drishyam 2,(2021),2h 32min
Amores Perros,(2000),2h 34min
Rebecca,(1940),2h 10min
"Monsters, Inc.",(2001),1h 32min
Rush,(2013),2h 3min
Hotel Rwanda,(2004),2h 1min
Spotlight,(2015),2h 9min
Hachi: A Dog's Tale,(2009),1h 33min
La Haine,(1995),1h 38min
Into the Wild,(2007),2h 28min
Platoon,(1986),2h
The Bandit,(1996),2h 8min
Monty Python's Life of Brian,(1979),1h 34min
Logan,(2017),2h 17min
The Handmaiden,(2016),2h 25min
Autumn Sonata,(1978),1h 39min
Network,(1976),2h 1min
The 400 Blows,(1959),1h 39min
Dead Poets Society,(1989),2h 8min
Harry Potter and the Deathly Hallows: Part 2,(2011),2h 10min
Cool Hand Luke,(1967),2h 7min
Stand by Me,(1986),1h 29min
Ben-Hur,(1959),3h 32min
Million Dollar Baby,(2004),2h 12min
The Passion of Joan of Arc,(1928),1h 54min
Mad Max: Fury Road,(2015),2h
The Wages of Fear,(1953),2h 11min
12 Years a Slave,(2013),2h 14min
How to Train Your Dragon,(2010),1h 38min
Ford v Ferrari,(2019),2h 32min
Barry Lyndon,(1975),3h 5min
The Big Lebowski,(1998),1h 57min
Hacksaw Ridge,(2016),2h 19min
To Be or Not to Be,(1942),1h 39min
Catch Me If You Can,(2002),2h 21min
Andhadhun,(2018),2h 19min
Gone Girl,(2014),2h 29min
Mr. Smith Goes to Washington,(1939),2h 9min
Mary and Max,(2009),1h 32min
Persona,(1966),1h 23min
Before Sunrise,(1995),1h 41min
In the Name of the Father,(1993),2h 13min
Prisoners,(2013),2h 33min
Sherlock Jr.,(1924),45min
Room,(2015),1h 58min
Gran Torino,(2008),1h 56min
The Grand Budapest Hotel,(2014),1h 39min
The Deer Hunter,(1978),3h 3min
The General,(1926),1h 7min
Stalker,(1979),2h 42min
Tokyo Story,(1953),2h 16min
Wild Tales,(2014),2h 2min
On the Waterfront,(1954),1h 48min
Memories of Murder,(2003),2h 12min
Kill Bill: Vol. 1,(2003),1h 51min
Gone with the Wind,(1939),3h 58min
Finding Nemo,(2003),1h 40min
Fargo,(1996),1h 38min
Warrior,(2011),2h 20min
My Father and My Son,(2005),1h 52min
The Truman Show,(1998),1h 43min
Jurassic Park,(1993),2h 7min
Trainspotting,(1996),1h 33min
Wild Strawberries,(1957),1h 31min
The Bridge on the River Kwai,(1957),2h 41min
Blade Runner,(1982),1h 57min
The Third Man,(1949),1h 33min
V for Vendetta,(2005),2h 12min
Klaus,(2019),1h 36min
Inside Out,(2015),1h 35min
The Elephant Man,(1980),2h 4min
No Country for Old Men,(2007),2h 2min
The Sixth Sense,(1999),1h 47min
Dial M for Murder,(1954),1h 45min
Shutter Island,(2010),2h 18min
The Thing,(1982),1h 49min
The Seventh Seal,(1957),1h 36min
My Neighbor Totoro,(1988),1h 26min
"Three Billboards Outside Ebbing, Missouri",(2017),1h 55min
The Secret in Their Eyes,(2009),2h 9min
"Lock, Stock and Two Smoking Barrels",(1998),1h 47min
Chinatown,(1974),2h 10min
Raging Bull,(1980),2h 9min
A Beautiful Mind,(2001),2h 15min
The Gold Rush,(1925),1h 35min
There Will Be Blood,(2007),2h 38min
The Treasure of the Sierra Madre,(1948),2h 6min
Casino,(1995),2h 58min
Pan's Labyrinth,(2006),1h 58min
Judgment at Nuremberg,(1961),2h 59min
The Great Escape,(1963),2h 52min
The Wolf of Wall Street,(2013),3h
Unforgiven,(1992),2h 10min
Children of Heaven,(1997),1h 29min
Howl's Moving Castle,(2004),1h 59min
Some Like It Hot,(1959),2h 1min
All About Eve,(1950),2h 18min
Batman Begins,(2005),2h 20min
Downfall,(2004),2h 36min
Green Book,(2018),2h 10min
Ran,(1985),2h 42min
Yojimbo,(1961),1h 50min
Rashomon,(1950),1h 28min
Die Hard,(1988),2h 12min
Monty Python and the Holy Grail,(1975),1h 31min
Heat,(1995),2h 50min
Indiana Jones and the Last Crusade,(1989),2h 7min
L.A. Confidential,(1997),2h 18min
Scarface,(1983),2h 50min
Up,(2009),1h 36min
To Kill a Mockingbird,(1962),2h 9min
For a Few Dollars More,(1965),2h 12min
Snatch,(2000),1h 42min
Toy Story 3,(2010),1h 43min
Incendies,(2010),2h 11min
Amélie,(2001),2h 2min
A Separation,(2011),2h 3min
Double Indemnity,(1944),1h 47min
The Sting,(1973),2h 9min
The Apartment,(1960),2h 5min
Taxi Driver,(1976),1h 54min
Metropolis,(1927),2h 33min
1917,(2019),1h 59min
A Clockwork Orange,(1971),2h 16min
The Father,(2020),1h 37min
Dangal,(2016),2h 41min
Full Metal Jacket,(1987),1h 56min
Bicycle Thieves,(1948),1h 29min
Ikiru,(1952),2h 23min
Lawrence of Arabia,(1962),3h 48min
North by Northwest,(1959),2h 16min
Eternal Sunshine of the Spotless Mind,(2004),1h 48min
The Hunt,(2012),1h 55min
Come and See,(1985),2h 22min
Singin' in the Rain,(1952),1h 43min
Vertigo,(1958),2h 8min
Requiem for a Dream,(2000),1h 42min
Citizen Kane,(1941),1h 59min
The Kid,(1921),1h 8min
M,(1931),1h 39min
Reservoir Dogs,(1992),1h 39min
2001: A Space Odyssey,(1968),2h 29min
Good Will Hunting,(1997),2h 6min
Star Wars: Episode VI - Return of the Jedi,(1983),2h 11min
Inglourious Basterds,(2009),2h 33min
American Beauty,(1999),2h 2min
Amadeus,(1984),2h 40min
Braveheart,(1995),2h 58min
Like Stars on Earth,(2007),2h 45min
Toy Story,(1995),1h 21min
High and Low,(1963),2h 23min
Capernaum,(2018),2h 6min
Das Boot,(1981),2h 29min
Aliens,(1986),2h 17min
Avengers: Endgame,(2019),3h 1min
The Dark Knight Rises,(2012),2h 44min
Once Upon a Time in America,(1984),3h 49min
Pather Panchali,(1955),2h 5min
Coco,(2017),1h 45min
3 Idiots,(2009),2h 50min
Your Name.,(2016),1h 46min
Hamilton,(2020),2h 40min
Oldboy,(2003),2h
Princess Mononoke,(1997),2h 14min
Sunset Blvd.,(1950),1h 50min
WALL·E,(2008),1h 38min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),1h 35min
Joker,(2019),2h 2min
Witness for the Prosecution,(1957),1h 56min
The Shining,(1980),2h 26min
Spider-Man: Into the Spider-Verse,(2018),1h 57min
The Lives of Others,(2006),2h 17min
Paths of Glory,(1957),1h 28min
The Great Dictator,(1940),2h 5min
Django Unchained,(2012),2h 45min
Memento,(2000),1h 53min
Apocalypse Now,(1979),2h 27min
Alien,(1979),1h 57min
Cinema Paradiso,(1988),2h 35min
Indiana Jones and the Raiders of the Lost Ark,(1981),1h 55min
Once Upon a Time in the West,(1968),2h 45min
Rear Window,(1954),1h 52min
Avengers: Infinity War,(2018),2h 29min
The Intouchables,(2011),1h 52min
Casablanca,(1942),1h 42min
The Prestige,(2006),2h 10min
Grave of the Fireflies,(1988),1h 29min
Modern Times,(1936),1h 27min
Gladiator,(2000),2h 35min
Psycho,(1960),1h 49min
American History X,(1998),1h 59min
The Departed,(2006),2h 31min
Whiplash,(2014),1h 46min
The Lion King,(1994),1h 28min
City Lights,(1931),1h 27min
Back to the Future,(1985),1h 56min
The Pianist,(2002),2h 30min
The Usual Suspects,(1995),1h 46min
Terminator 2: Judgment Day,(1991),2h 17min
Hara-Kiri,(1962),2h 13min
Léon: The Professional,(1994),1h 50min
Parasite,(2019),2h 12min
Interstellar,(2014),2h 49min
The Green Mile,(1999),3h 9min
Spirited Away,(2001),2h 5min
Life Is Beautiful,(1997),1h 56min
One Flew Over the Cuckoo's Nest,(1975),2h 13min
Star Wars: Episode IV - A New Hope,(1977),2h 1min
Saving Private Ryan,(1998),2h 49min
Goodfellas,(1990),2h 26min
The Matrix,(1999),2h 16min
Star Wars: Episode V - The Empire Strikes Back,(1980),2h 4min
The Lord of the Rings: The Two Towers,(2002),2h 59min
Inception,(2010),2h 28min
Forrest Gump,(1994),2h 22min
